date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:19	345/345	---MCZ	200	added ('OK')	text/plain	date:Thu,%2005%20Sep%202024%2021:32:19%20GMT	https://www.maggmashop.com.ar/robots.txt		(from )
18:32:20	232672/232672	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202024%2021:32:20%20GMT	https://www.maggmashop.com.ar/quienes-somos/	C:/My%20Web%20Sites/makeyourdesign/www.maggmashop.com.ar/quienes-somos/index.html	(from )
18:32:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2005%20Sep%202024%2021:32:20%20GMT	http://acdn.mitiendanube.com/stores/001/053/132/themes/idea/style-critical-b42a8300f1184f84d5b2a5263bcc7d53.css	C:/My%20Web%20Sites/makeyourdesign/acdn.mitiendanube.com/stores/001/053/132/themes/idea/style-critical-b42a8300f1184f84d5b2a5263bcc7d53.0.delayed	(from https://www.maggmashop.com.ar/quienes-somos/)
18:32:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2005%20Sep%202024%2021:32:22%20GMT	http://acdn.mitiendanube.com/stores/001/053/132/themes/idea/style-colors-0cbd494193ec0a960cde053b7228c262.css	C:/My%20Web%20Sites/makeyourdesign/acdn.mitiendanube.com/stores/001/053/132/themes/idea/style-colors-0cbd494193ec0a960cde053b7228c262.css	(from https://www.maggmashop.com.ar/quienes-somos/)
18:32:22	85143/85143	---MCZ	200	added ('OK')	text/css	etag:W/%22b42a8300f1184f84d5b2a5263bcc7d53%22	https://acdn.mitiendanube.com/stores/001/053/132/themes/idea/style-critical-b42a8300f1184f84d5b2a5263bcc7d53.css	C:/My%20Web%20Sites/makeyourdesign/acdn.mitiendanube.com/stores/001/053/132/themes/idea/style-critical-b42a8300f1184f84d5b2a5263bcc7d53.css	(from https://www.maggmashop.com.ar/quienes-somos/)
18:32:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2005%20Sep%202024%2021:32:22%20GMT	http://acdn.mitiendanube.com/stores/001/053/132/themes/idea/style-async-0fdfe20fa00f6c13730213cda9b94246.css	C:/My%20Web%20Sites/makeyourdesign/acdn.mitiendanube.com/stores/001/053/132/themes/idea/style-async-0fdfe20fa00f6c13730213cda9b94246.css	(from https://www.maggmashop.com.ar/quienes-somos/)
18:32:22	30597/30597	---MCZ	200	added ('OK')	text/css	etag:W/%220cbd494193ec0a960cde053b7228c262%22	https://acdn.mitiendanube.com/stores/001/053/132/themes/idea/style-colors-0cbd494193ec0a960cde053b7228c262.css	C:/My%20Web%20Sites/makeyourdesign/acdn.mitiendanube.com/stores/001/053/132/themes/idea/style-colors-0cbd494193ec0a960cde053b7228c262.css	(from https://www.maggmashop.com.ar/quienes-somos/)
18:32:22	57029/57029	---MCZ	200	added ('OK')	text/css	etag:W/%220fdfe20fa00f6c13730213cda9b94246%22	https://acdn.mitiendanube.com/stores/001/053/132/themes/idea/style-async-0fdfe20fa00f6c13730213cda9b94246.css	C:/My%20Web%20Sites/makeyourdesign/acdn.mitiendanube.com/stores/001/053/132/themes/idea/style-async-0fdfe20fa00f6c13730213cda9b94246.css	(from https://www.maggmashop.com.ar/quienes-somos/)
18:32:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2005%20Sep%202024%2021:32:23%20GMT	http://acdn.mitiendanube.com/assets/stores/js/linkedstore-v2-6fde3a034bf0e53cf45ff1c00df7386930.js?v=23069941	C:/My%20Web%20Sites/makeyourdesign/acdn.mitiendanube.com/assets/stores/js/linkedstore-v2-6fde3a034bf0e53cf45ff1c00df7386930cd7a.js	(from https://www.maggmashop.com.ar/quienes-somos/)
18:32:23	247/247	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c984926f96a2e4787f155a9755d6944a%22	https://acdn.mitiendanube.com/assets/stores/js/metrics-worker-c984926f96a2e4787f155a9755d6944a30.js?v=23069941	C:/My%20Web%20Sites/makeyourdesign/acdn.mitiendanube.com/assets/stores/js/metrics-worker-c984926f96a2e4787f155a9755d6944a30cd7a.js	(from https://www.maggmashop.com.ar/quienes-somos/)
18:32:25	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2005%20Sep%202024%2021:32:24%20GMT	http://acdn.mitiendanube.com/assets/themes/idea/static/images/empty-placeholder.png	C:/My%20Web%20Sites/makeyourdesign/acdn.mitiendanube.com/assets/themes/idea/static/images/empty-placeholder.png	(from https://www.maggmashop.com.ar/quienes-somos/)
18:32:27	230670/230670	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2005%20Sep%202024%2021:32:24%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/makeyourdesign/connect.facebook.net/en_US/fbevents.js	(from https://www.maggmashop.com.ar/quienes-somos/)
18:32:30	261662/261662	---MCZ	200	added ('OK')	application/javascript	etag:W/%226fde3a034bf0e53cf45ff1c00df73869%22	https://acdn.mitiendanube.com/assets/stores/js/linkedstore-v2-6fde3a034bf0e53cf45ff1c00df7386930.js?v=23069941	C:/My%20Web%20Sites/makeyourdesign/acdn.mitiendanube.com/assets/stores/js/linkedstore-v2-6fde3a034bf0e53cf45ff1c00df7386930cd7a.js	(from https://www.maggmashop.com.ar/quienes-somos/)
18:32:31	95786/95786	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	C:/My%20Web%20Sites/makeyourdesign/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from https://www.maggmashop.com.ar/quienes-somos/)
